data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2024,213897823,218771657,18,
2024,213897823,218771658,18,
2024,210063909,214966667,24,
2024,210063910,214966668,15,
2024,210063917,214966675,1,
2024,210063918,214966676,3,
2024,210063922,214966680,15,
2024,210063925,214966683,16,
2024,210063929,214966687,3,
2024,210063930,214966688,24,
2024,210063932,214966690,3,
2024,210063934,214966692,24,
2024,210063936,214966694,3,
2024,210063937,214966695,23,
2024,210063938,214966696,20,
2024,210063939,214966697,3,
2024,210063940,214966698,16,
2024,210063942,214966700,16,
2024,210063948,214966706,1,
2024,210063949,214966707,16,
2024,210063950,214966707,24,
2024,210063951,214966707,24,
2024,210063952,214966708,21,
2024,210063953,214966709,11,
2024,210063954,214966710,19,
2024,210063959,214966715,24,
2024,210063961,214966717,18,
2024,210063961,214966718,18,
2024,210063961,214966719,18,
2024,210063963,214966721,16,
2024,210063965,214966723,26,
2024,210063966,214966724,18,
2024,210063967,214966725,5,
2024,210063968,214966726,3,
2024,210063975,214966733,24,
2024,210063977,214966735,16,
2024,210063983,214966742,1,
2024,210063984,214966742,1,
2024,210063985,214966743,24,
2024,210063986,214966743,24,
2024,210063988,214966745,16,
2024,210063989,214966746,3,
2024,210063990,214966747,13,
2024,210063991,214966748,26,
2024,210063992,214966749,26,
2024,210063993,214966750,15,
2024,210063995,214966752,17,
2024,212062368,216945692,1,
2024,210063998,214966755,16,
2024,210063999,214966756,3,
2024,210064003,214966760,16,
2024,210064006,214966763,3,
2024,210064008,214966765,19,
2024,210064011,214966768,26,
2024,210064020,214966773,16,
2024,210064022,214966775,21,
2024,210064034,214966784,3,
2024,210064039,214966789,14,
2024,210064042,214966791,24,
2024,210064045,214966794,26,
2024,210064057,214966806,26,
2024,210064060,214966808,26,
2024,210064062,214966810,14,
2024,210064062,214966811,14,
2024,210064062,214966812,14,
2024,210064062,214966813,14,
2024,210064067,214966819,17,
2024,210064069,214966821,3,
2024,210064070,214966822,17,
2024,210064072,214966824,15,
2024,210064074,214966826,13,
2024,210064076,214966828,18,
2024,210064077,214966829,1,
2024,210064079,214966831,9,
2024,210064081,214966833,16,
2024,210064085,214966836,9,
2024,212062378,216945699,16,
2024,212062378,216945700,16,
2024,212062378,216945701,16,
2024,212062378,216945702,16,
2024,210064114,214966862,1,
2024,210064117,214966865,24,
2024,210064118,214966865,16,
2024,212062379,216945703,16,
2024,212062380,216945703,24,
2024,210064126,214966871,3,
2024,210064127,214966872,3,
2024,210064129,214966874,16,
2024,210064130,214966874,16,
2024,210064131,214966874,16,
2024,210064132,214966874,16,
2024,210064136,214966878,26,
2024,210064139,214966881,19,
2024,210064139,214966882,15,
2024,210064139,214966883,15,
2024,210064143,214966887,17,
2024,210064150,214966894,21,
2024,210064155,214966899,3,
2024,212062387,216945714,24,
2024,210064177,214966913,1,
2024,210064178,214966914,1,
2024,210064182,214966918,26,
2024,212062388,216945715,18,
2024,212062388,216945716,18,
2024,210064197,214966929,18,
2024,212062395,216945723,17,
2024,212062396,216945723,24,
2024,210064204,214966935,21,
2024,212062402,216945729,5,
2024,212062402,216945730,5,
2024,212062403,216945731,16,
2024,217394263,222256583,14,
2024,212062408,216945736,14,
2024,212062409,216945737,1,
2024,212062411,216945739,18,
2024,212062413,216945741,26,
2024,212062418,216945745,19,
2024,212062421,216945748,17,
2024,212062422,216945749,17,
2024,212062423,216945750,21,
2024,212062426,216945753,26,
2024,212062428,216945755,5,
2024,212062430,216945757,16,
2024,212062431,216945758,1,
2024,212062432,216945758,21,
2024,212062434,216945760,5,
2024,212062444,216945766,24,
2024,212062446,216945768,26,
